screen_id,usecase_id,api_id,required_permissions,required_media
PrescriptionScreen,RefillPrescription,RefillPrescriptionApi,PrescriptionWrite,ClinicalWorkstation
PatientProfileScreen,RegisterPatient,RegisterPatientApi,PatientProfileWrite,FrontDeskTerminal
RoomAdminScreen,ReleaseRoom,,RoomAdmin,AdminConsole
AppointmentScreen,RescheduleAppointment,RescheduleAppointmentApi,ScheduleWrite,FrontDeskTerminal|PatientMobile
AppointmentScreen,ReserveAppointment,ReserveAppointmentApi,ScheduleWrite,FrontDeskTerminal|PatientMobile
AuditReviewScreen,ResolveAuditFinding,,AuditResolve,AdminConsole
AuditReviewScreen,ReviewAuditEvents,AuditApi,AuditRead,AdminConsole
ResultReviewScreen,ReviewLabResult,ResultReviewApi,LabResultManage,ClinicalWorkstation
CarePlanScreen,ReviewPatientResponse,,FollowUpManage,CareCoordinationConsole
FollowUpScheduleScreen,ScheduleFollowUpVisit,FollowUpScheduleApi,FollowUpManage|ScheduleWrite,CareCoordinationConsole
ScheduleSearchScreen,SearchAvailability,SearchAvailabilityApi,ScheduleRead,FrontDeskTerminal|PatientMobile
MedicationSearchScreen,SearchMedication,MedicationCatalogApi,PrescriptionWrite,ClinicalWorkstation
PatientSearchScreen,SearchPatient,SearchPatientApi,PatientProfileRead,FrontDeskTerminal
AppointmentNoticeScreen,SendAppointmentNotice,AppointmentNoticeApi,ScheduleRead,FrontDeskTerminal
PatientMessageScreen,SendFollowUpMessage,SendFollowUpMessageApi,PatientMessageSend,CareCoordinationConsole
IntakePortalScreen,SendIntakeForms,IntakeMessagingApi,IntakeManage|PatientMessageSend,FrontDeskTerminal
PrescriptionScreen,SendPrescription,SendPrescriptionApi,PrescriptionWrite,ClinicalWorkstation
EncounterWorkspaceScreen,SignEncounter,SignEncounterApi,EncounterSign,ClinicalWorkstation
ClaimScreen,SubmitClaim,SubmitClaimApi,BillingClaimWrite,BillingWorkstation
PatientProfileScreen,UpdateDemographics,UpdateDemographicsApi,PatientProfileWrite,FrontDeskTerminal
CheckInScreen,VerifyArrival,VerifyArrivalApi,VisitCheckIn,FrontDeskTerminal
InsuranceScreen,VerifyInsurance,EligibilityApi,InsuranceVerify,FrontDeskTerminal
ChargeWorklistScreen,VoidCharge,,BillingClaimWrite,BillingWorkstation
